"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
Alaska,AK,99576,16,10,412,0,"7,016",5.87,0.00,0.88,0.00
Alaska,AK,99577,41,17,"4,864","1,066","22,270",21.84,21.92,4.67,-0.56
Alaska,AK,99586,1,0,0,0,257,0.00,0.00,-6.91,0.00
Alaska,AK,99587,2,0,0,0,224,0.00,0.00,-7.45,0.00
Alaska,AK,99588,4,2,172,0,"1,937",8.88,0.00,1.83,0.00
Alaska,AK,99603,32,17,"2,437",202,"26,733",9.12,8.29,-1.34,0.64
Alaska,AK,99604,1,1,26,0,406,6.40,0.00,-3.94,0.00
Alaska,AK,99606,3,0,0,0,83,0.00,0.00,0.00,0.00
Alaska,AK,99611,32,14,"1,519",214,"17,464",8.70,14.09,-0.10,-5.17
Alaska,AK,99612,2,1,44,0,"1,132",3.89,0.00,-3.00,0.00
Alaska,AK,99615,38,14,423,57,"10,449",4.05,13.48,-0.41,0.90
Alaska,AK,99627,3,0,0,0,171,0.00,0.00,-3.24,0.00
Alaska,AK,99633,3,0,0,0,59,0.00,0.00,0.00,0.00
Alaska,AK,99637,2,2,81,0,"1,798",4.51,0.00,0.90,0.00
Alaska,AK,99639,2,0,0,0,724,0.00,0.00,-6.43,0.00
Alaska,AK,99645,78,49,"2,904",146,"56,164",5.17,5.03,-0.58,1.69
Alaska,AK,99652,1,0,0,0,202,0.00,0.00,-46.18,-26.69
Alaska,AK,99654,124,59,"8,517","1,390","92,822",9.18,16.32,2.09,3.57
Alaska,AK,99658,2,2,36,0,278,12.95,0.00,3.73,0.00
Alaska,AK,99660,2,0,0,0,57,0.00,0.00,-3.27,0.00
Alaska,AK,99661,2,1,22,0,815,2.70,0.00,-2.33,0.00
Alaska,AK,99664,18,5,702,68,"12,243",5.73,9.69,-5.05,5.39
Alaska,AK,99669,86,51,"5,650","1,031","67,867",8.33,18.25,-2.28,0.59
Alaska,AK,99672,2,2,118,11,379,31.13,9.32,-1.81,9.32
Alaska,AK,99674,1,1,20,0,421,4.75,0.00,,
Alaska,AK,99676,6,3,130,12,"3,817",3.41,9.23,-6.55,3.27
Alaska,AK,99685,7,1,18,0,238,7.56,0.00,-1.20,0.00
Alaska,AK,99686,7,3,532,147,"4,334",12.28,27.63,-1.29,11.07
Alaska,AK,99688,5,2,73,0,"2,712",2.69,0.00,-0.76,0.00
Alaska,AK,99692,1,0,0,0,18,0.00,0.00,0.00,0.00
Alaska,AK,99693,1,0,0,0,60,0.00,0.00,,
Alaska,AK,99701,228,105,"7,153",644,"101,619",7.04,9.00,-0.43,2.42
Alaska,AK,99702,4,3,62,0,886,7.00,0.00,-10.74,0.00
Alaska,AK,99703,16,6,352,74,"3,780",9.31,21.02,-1.24,21.02
Alaska,AK,99704,1,0,0,0,146,0.00,0.00,0.00,0.00
Alaska,AK,99705,4,0,0,0,317,0.00,0.00,0.00,0.00
Alaska,AK,99709,25,10,231,12,"3,643",6.34,5.19,-4.97,0.70
Alaska,AK,99712,1,0,0,0,32,0.00,0.00,,
Alaska,AK,99723,5,2,65,0,"2,435",2.67,0.00,-0.51,0.00
Alaska,AK,99730,1,0,0,0,"1,207",0.00,0.00,-5.01,-7.99
Alaska,AK,99734,1,0,0,0,31,0.00,0.00,,
Alaska,AK,99737,5,2,299,34,"3,261",9.17,11.37,0.33,5.94
Alaska,AK,99740,1,0,0,0,27,0.00,0.00,0.00,0.00
Alaska,AK,99741,3,0,0,0,365,0.00,0.00,-3.28,0.00
Alaska,AK,99752,21,7,267,0,"5,820",4.59,0.00,-4.10,-10.27
